0000A712
time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-25T12:36:07.240Z,42.6583,13.1641,10,4.3,mb,,88,0.179,1.05,us,us20006tu8,2016-08-25T12:49:46.639Z,"10km ESE of Maltignano, Italy",earthquake,4.8,2,0.142,14,reviewed,us,us
2016-08-25T12:34:58.300Z,19.125,-64.7841,64,2.2,Md,3,320.4,0.78872082,0.25,pr,pr16238011,2016-08-25T17:07:47.766Z,"80km NNW of Road Town, British Virgin Islands",earthquake,8.2,12.2,0,3,reviewed,pr,pr
2016-08-25T12:32:24.000Z,68.5004,-146.9045,5,1.5,ml,,,,0.82,ak,ak13878639,2016-08-25T12:45:17.375Z,"70km NW of Arctic Village, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-08-25T12:25:57.900Z,19.1686,-64.7845,29,2.8,Md,14,277.2,0.76356799,0.23,pr,pr16238006,2016-08-25T13:10:41.047Z,"85km NNW of Road Town, British Virgin Islands",earthquake,2.1,14.6,0,11,reviewed,pr,pr
2016-08-25T12:24:27.800Z,19.3187,-64.6835,11,2.4,Md,4,327.6,0.98455355,0.1,pr,pr16238005,2016-08-25T12:57:23.416Z,"100km N of Road Town, British Virgin Islands",earthquake,7.1,10,0,4,reviewed,pr,pr
2016-08-25T12:23:48.800Z,19.1975,-64.8052,10,1.9,Md,4,320.4,0.8525012,0.03,pr,pr16238004,2016-08-25T12:48:36.972Z,"88km NNW of Road Town, British Virgin Islands",earthquake,5,6.9,0,3,reviewed,pr,pr
2016-08-25T12:17:54.590Z,48.0041656,-121.9191666,9.06,2.67,md,41,51,0.2246,0.26,uw,uw61184632,2016-08-25T12:21:08.450Z,"9km SSE of Granite Falls, Washington",earthquake,0.4,3.33,0.22,8,automatic,uw,uw
2016-08-25T12:16:06.930Z,35.5366669,-120.7878342,6.04,1.41,md,11,156,0.09696,0.06,nc,nc72684916,2016-08-25T12:17:45.622Z,"7km W of Templeton, California",earthquake,1.4,4.57,0.24,5,automatic,nc,nc
2016-08-25T12:03:35.000Z,68.7868,-143.521,5,1.8,ml,,,,0.91,ak,ak13878637,2016-08-25T12:13:56.920Z,"110km NE of Arctic Village, Alaska",earthquake,0.4,0.3,,,automatic,ak,ak
2016-08-25T11:56:05.000Z,63.2458,-151.1096,5,1.1,ml,,,,0.74,ak,ak13878636,2016-08-25T12:04:59.798Z,"109km W of Cantwell, Alaska",earthquake,0.4,0.7,,,automatic,ak,ak
2016-08-25T11:55:27.030Z,35.3343333,-118.6638333,3.51,1.21,ml,13,84,0.105,0.11,ci,ci37671328,2016-08-25T13:03:32.393Z,"20km NE of Arvin, CA",earthquake,0.25,1.02,0.108,14,reviewed,ci,ci
2016-08-25T11:55:16.661Z,41.8973,-119.6362,7.7,1.8,ml,5,120.12,0.13,0.1663,nn,nn00557518,2016-08-25T16:17:32.396Z,"67km ESE of Lakeview, Oregon",earthquake,,4.9,0.39,4,reviewed,nn,nn
